SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
Cc1cc(C)c2c(c1)C[C@](C)(C(=O)N[C@@H]1CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC2=O,2,ligand_35,1,0.741,-4.855696211,-4.750765977,98.3497426,-0.003141453444,2.159891871,0.9240337014,4.668485048,0.9153098464,0.8069902658,0.5194442272,0.3318796456,0.1289089918
Cc1cc(C)c2c(c1)C[C@](C)(C(=O)[N-][C@@H]1CCC[C@]3(n4cnnn4)CCCC[C@@H]13)OC2=O,2,ligand_39,1,0.741,-4.855696211,-4.750765977,98.3497426,-0.003141453444,2.159891871,0.9240337014,4.668485048,0.9153098464,0.8069902658,0.5194442272,0.3318796456,0.1289089918
Cc1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@H]13)OC2=O,2,ligand_40,1,0.46,-5.055953321,-4.69479584,96.22524851,0.06535331526,3.460296162,0.02421925776,2.187884843,0.9641368985,0.4537367523,0.1534709632,0.2644892335,0.03970275819
Cc1cc[nH+]n1-c1cc(N/C(O)=[N+]2\CC=C([O-])CC2)c2ccccc2c1,2,ligand_42,0,0.721,-5.349035207,-4.726575142,97.81273005,-0.2528489305,1.914282437,0.996943295,4.467259333,0.9909510612,0.7502869964,0.3137885332,0.2078695297,0.04485269636
Cc1ccc2c(c1)C[C@](C)(C(=O)[N-][C@H]1CCC[C@@H]3CCCC[C@@H]31)OC2=O,2,ligand_44,0,0.818,-4.996700428,-4.673316343,98.25472711,-0.06850435607,1.391599686,0.8306871653,3.139751032,0.5438671708,0.5963045955,0.5068030357,0.1711786091,0.2077056319
C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc3ccccc13)OC=2C#N,2,ligand_45,1,0.77,-4.618344139,-4.553926245,98.46319799,0.1840298276,0.9547111127,0.9925026894,4.358491654,0.9190061092,0.5662927032,0.8513042331,0.2078760415,0.2139345855
C[C@]1(C(=O)[N-][C@@H]2CCC[C@]3(n4cnn[nH+]4)CCCC[C@H]23)Cc2ccccc2C(=O)O1,2,ligand_47,0,0.782,-4.982891738,-4.660616431,95.71733614,-0.1705585653,4.359922739,0.7273112535,2.744327032,0.8360913396,0.7578234076,0.5796550512,0.1776488572,0.2244391292
N#C/C(=[N+]1/CCC[C@H](N/C(O)=N/[C@H]2CCC[C@]3(n4cnnn4)CCCC[C@H]23)C1)C(F)(F)F,2,ligand_48,1,0.412,-5.328134848,-4.73417491,71.90537587,0.002091693435,19.42360865,0.06988618523,2.571397174,0.998367846,0.9557843804,0.3924444318,0.1566824317,0.0002113065275
C[C@H](c1[nH+]c[nH+]o1)N1C[N@H+](c2cc(Cl)c3ccccc3c2)NN1,2,ligand_50,0,0.765,-4.800139967,-4.716972377,84.98974756,0.5534042083,13.7073019,0.8916943073,6.493242867,0.9598641396,0.8383200765,0.8643856645,0.688082397,0.270162046
C[C@@H]1C[C@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)nn2)CN(/C=C2/NC(C)(C)CO2)C1,3,ligand_1,0,0.738,-4.717283131,-4.535222764,83.02418463,0.3605609929,14.68862369,0.9983722568,7.866225105,0.9979313612,0.999668479,0.993467629,0.5262482166,0.9353806973
C[C@@H]1C[C@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/NC(C)(C)CO2)C1,3,ligand_2,0,0.738,-4.717283131,-4.535222764,83.02418463,0.3605609929,14.68862369,0.9983722568,7.866225105,0.9979313612,0.999668479,0.993467629,0.5262482166,0.9353806973
Cc1ccnn1[C@@H]1[C@@H](C#N)[C@@H](NC(=O)NC[C@]2(C)Cc3ccccc3C(=O)O2)CC[C@H]1C,3,ligand_3,1,0.717,-5.274034718,-4.959017585,76.63231096,0.02924175706,20.47818184,0.9616219401,2.396074243,0.9416497946,0.734716773,0.3522788584,0.215970546,0.04012253135
C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)[nH+]n2)CN(CC2=[NH+]C(C)(C)CO2)C1,3,ligand_6,1,0.671,-5.058082934,-4.681187277,95.17742303,0.2595247701,4.775722124,0.7508435845,7.584876817,0.8792721629,0.9857876301,0.9809299707,0.4440377653,0.7857254148
C=c1ccc2c(c1)C[C@H](C(=O)[N-][C@]1(n3nccc3C)CCC[C@@H]3CCCC[C@@H]31)OC=2C#N,3,ligand_7,1,0.812,-4.620666437,-4.614345357,98.24601215,-0.1218745206,1.571821286,0.9419062734,3.411652269,0.9721101522,0.509689033,0.7341798544,0.2527294457,0.2753949463
C[C@H]1C[C@@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)n[nH+]2)CN(/C=C2\[NH2+]C(C)(C)CO2)C1,3,ligand_9,0,0.738,-4.867808806,-4.60269994,74.43869875,0.1196223274,28.06060255,0.9612522125,6.844599227,0.9886394739,0.9939556718,0.9153005481,0.5429487824,0.9799860716
C=c1ccc2c(c1)C[C@@](C)(C(=O)N[C@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@@H]13)OC=2OC(C)=O,3,ligand_11,1,0.678,-4.667882813,-4.739096443,70.73916122,-0.06142776559,29.39819929,0.5137875676,2.80059642,0.5936902165,0.5829548836,0.04566120729,0.3362746537,0.1709541529
C=C1CCC[C@H]2C[C@@](C)(C(=O)[N-]c3cccc(-n4c[nH+]nn4)c3)OC(=O)[C@H]12,3,ligand_15,1,0.66,-5.162796371,-4.870059305,91.58504803,-0.1608750344,7.358175218,0.8747062683,2.954405392,0.9504755139,0.9284231067,0.4993106127,0.5912454128,0.09105953574
Cc1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1CC[C@@H]3N[C@@H]4CCCC[C@@H]4[C@H]3C1)OC2=O,3,ligand_17,1,0.448,-5.364934215,-4.883143358,95.55078001,0.4598610805,4.276102928,2.50E-05,3.024812434,0.9455664754,0.6593207717,0.4163869321,0.1428985894,0.05303899199
C=c1ccc2c(c1)C[C@H](C(=O)N[C@]1(n3[nH+]ccc3C)CCC[C@@H]3CCCC[C@@H]31)OC=2O,3,ligand_18,1,0.799,-4.726654741,-4.595321879,96.55096756,-0.1678139882,3.37030731,0.9545140266,1.764315276,0.9694939852,0.7243492603,0.5820176005,0.4534322023,0.2702038586
C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)nn2)CN(CC2=[NH+]C(C)(C)CO2)C1,3,ligand_19,1,0.671,-5.058082934,-4.681187277,95.17742303,0.2595247701,4.775722124,0.7508435845,7.584876817,0.8792721629,0.9857876301,0.9809299707,0.4440377653,0.7857254148
C[C@H]1C[C@@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)n[nH+]2)CN(C(=O)[C@@H](C)CN)C1,3,ligand_21,0,0.76,-5.51976612,-5.180248964,52.41075695,0.00325436096,48.82719131,0.02056288533,5.297261186,0.9062900543,0.9772564173,0.8825802803,0.5462914705,0.3995292187
Cc1ccnn1-c1ccc(Cl)c(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,3,ligand_25,0,0.681,-5.200281936,-4.828190393,98.49224842,0.1068954896,1.341235624,0.9058549404,3.882843464,0.9539418817,0.9332163334,0.8380618095,0.311925441,0.2193093747
C[C@@H]1C[C@H](c2cn(/C=C/[C@@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/[NH2+]C(C)(C)CO2)C1,3,ligand_26,1,0.738,-4.608286215,-4.443624341,82.2229528,0.426097969,14.81248814,0.9991711378,8.161219984,0.9989668131,0.9996082187,0.9954049587,0.7929311991,0.7713038921
C[C@@]1([C@H]2[NH2+]CCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,4,ligand_1,1,0.729,-5.081276612,-4.751873539,59.2546333,0.01950440199,40.39372826,0.93656075,3.664817342,0.5880672932,0.9524825215,0.7186306119,0.07336574048,0.03659613803
C[C@@]1([C@H]2NCCc3ccc(CNC(=O)[C@H]4C[C@@H](C#N)C4)cc32)Cc2ccccc2C(=O)O1,4,ligand_3,1,0.729,-5.081276612,-4.751873539,59.2546333,0.01950440199,40.39372826,0.93656075,3.664817342,0.5880672932,0.9524825215,0.7186306119,0.07336574048,0.03659613803
CC(=O)N1CCc2ccc(C/N=C(\O)[C@H]3C[C@@H](C#N)C3)cc2[C@@H]1[C@]1(C)Cc2ccccc2C(=O)O1,4,ligand_4,1,0.407,-4.904537599,-4.671601374,91.6079955,0.1045369396,6.992053395,0.1132419407,2.366470033,0.9980250597,0.7757975459,0.3380891979,0.02275735326,0.0006295719068
